[2026-06-10T12:46:28.596Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-a/assets/feature-icons/06-physician.png → 200 (20ms, 38000B)
[2026-06-10T12:46:29.195Z] GET https://fonts.gstatic.com/s/intertight/v9/NGSwv5HMAFg6IuGlBNMjxLsH8ahuQ2e8.woff2 → 200 (528ms, 45054B)
[2026-06-10T12:46:29.196Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (527ms, 48984B)
[2026-06-10T12:46:29.196Z] GET https://fonts.gstatic.com/s/sourceserif4/v14/vEFI2_tTDB4M7-auWDN0ahZJW1gb8te1Xb7G.woff2 → 200 (553ms, 122351B)
[2026-06-10T12:46:29.196Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (530ms, 31468B)
[2026-06-10T12:49:10.038Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-a/index.html → 200 (?ms, 84649B)
[2026-06-10T12:49:10.043Z] GET https://fonts.googleapis.com/css2?family=Inter+Tight:wght@400;500;600;700&family=Inter:wght@400;500;600&family=Source+Serif+4:ital,opsz,wght@0,8..60,400;0,8..60,500;1,8..60,400&family=JetBrains+Mono:wght@400;500&display=swap → 200 (2ms, -698B)
[2026-06-10T12:49:10.043Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-a/assets/brand/aleron-logo-white.png → 200 (3ms, 5674B)
[2026-06-10T12:49:10.043Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-a/assets/hero-runner/hero03-bg-plane.png → 200 (3ms, 2507601B)
[2026-06-10T12:49:10.043Z] GET file:///Users/jasonyim/Projects/aleron-website-v1/jobs/landing-a/assets/hero-runner/hero03-mid-blocks-plane.png → 200 (3ms, 97159B)
